gene,q,turnover_half_life_[min],turnover_time_[min],initation_time_[min],ratio
NM_001014454.2,0.0365317568591784,10.3125136558046,7.14808976500691,271.976501229436,26.3734439834025
NM_001014476.2,0.61415601882986,31.9620929274107,22.1544345974297,20.0802089428982,0.628250752805911
NM_001014478.2,0.5,31.9620929274107,22.1544345974297,31.9620929274107,1
NM_001014543.2,0.65278810408922,10.3125136558046,7.14808976500691,5.48512970075256,0.531890660592254
NM_001014565.2,0.152682751170328,10.3125136558046,7.14808976500691,57.2295863964818,5.54952830188679
NM_001014577.2,0.347058823529411,17.2582803904907,11.9625283939817,32.4689681922793,1.88135593220339
NM_001014643.2,0.282521143777689,10.3125136558046,7.14808976500691,26.1892274808494,2.53955808980755
NM_001014678.3,0.513454386348721,17.2582803904907,11.9625283939817,16.3538200206439,0.947592671495524
NM_001031933.3,0.373228227090124,6.43613325972188,4.46118762268431,10.808364322632,1.6793257514216
NM_001031990.4,0.202591283863369,10.3125136558046,7.14808976500691,40.5905334010448,3.93604651162789
NM_001032217.3,0.439230324845576,6.43613325972188,4.46118762268431,8.21707462610587,1.27670983407527
NM_001032403.2,0.15154146765089,10.3125136558046,7.14808976500691,57.7382569726141,5.59885386819486
NM_001032408.3,0.325217143670796,6.43613325972188,4.46118762268431,13.3541311374002,2.07486865148862
NM_001038776.3,0.209658421672556,10.3125136558046,7.14808976500691,38.8747003541848,3.76966292134831
NM_001038812.2,0,10.3125136558046,7.14808976500691,Inf,Inf
NM_001038817.1,0.285043478260869,6.43613325972188,4.46118762268431,16.1433458393634,2.50823672971324
NM_001042873.2,0,10.3125136558046,7.14808976500691,Inf,Inf
NM_001042881.5,0.655795283492224,31.9620929274107,22.1544345974297,16.7758192411657,0.524866105585307
NM_001042906.2,0.131522896698615,6.43613325972188,4.46118762268431,42.4993252899044,6.60323886639677
NM_001043113.2,0.304347826086957,31.9620929274107,22.1544345974297,73.0562124055099,2.28571428571428
NM_001043139.4,0.376194743130226,31.9620929274107,22.1544345974297,52.9994688994819,1.65819769749901
NM_001043192.3,0.263068423289417,10.3125136558046,7.14808976500691,28.8883662022056,2.80129240710825
NM_001043241.3,0.312534209085932,10.3125136558046,7.14808976500691,22.6839179539241,2.19964973730298
NM_001043290.2,0.355023600809171,31.9620929274107,22.1544345974297,58.0659864863595,1.81671415004748
NM_001103740.3,0.463229719484458,10.3125136558046,7.14808976500691,11.9496884915052,1.15875613747954
NM_001103863.3,0.141872791519435,10.3125136558046,7.14808976500691,62.3759387624444,6.04856787048565
NM_001103899.2,0.172789115646258,17.2582803904907,11.9625283939817,82.6223187198301,4.78740157480317
NM_001103967.2,0.214569083447332,17.2582803904907,11.9625283939817,63.1739986369159,3.66050366592286
NM_001104104.3,0.0612951062778053,17.2582803904907,11.9625283939817,264.302213399532,15.3145161290323
NM_001104153.3,0.257925286500967,10.3125136558046,7.14808976500691,29.6700479445135,2.87709174841316
NM_001104159.3,0.142538146631931,17.2582803904907,11.9625283939817,103.820047048801,6.01566579634466
NM_001104160.3,0.14768280123584,17.2582803904907,11.9625283939817,99.602181667853,5.77126917712691
NM_001104235.2,0.195864661654135,10.3125136558046,7.14808976500691,42.3387076962881,4.10556621880998
NM_001104277.2,0.4039857463376,17.2582803904907,11.9625283939817,25.4617426473232,1.47533485788958
NM_001104305.3,0.368500376789752,17.2582803904907,11.9625283939817,29.5755398102887,1.71370143149284
NM_001104323.3,0.351394771432744,10.3125136558046,7.14808976500691,19.0348599939437,1.84580216126351
NM_001104363.2,0.190771202734458,6.43613325972188,4.46118762268431,27.3013133122358,4.24188129899218
NM_001104456.2,0.0516906335017488,17.2582803904907,11.9625283939817,316.618076336823,18.3458646616542
