gene	TKO_0min_R1	TKO_0min_R2	TKO_2.5min_R1	TKO_5min_R1	TKO_5min_R2	TKO_10min_R1	TKO_10min_R2	TKO_20min_R1	TKO_20min_R2
NR_033199.1	36.9834618511201	34.1023704607404	17.8210604380277	8	7.29011910494934	3.45691891474849	4.34885153999456	0.514232560566463	0
NM_001172205.1	371.419624019106	285.935260016978	230.898956979663	185	155.236653881862	76.9164458531538	104.037909918331	29.8254885128548	29.629117150162
NM_001039551.1	51.7768465915681	43.7209877701801	16.271403008634	9	5.14596642702306	3.45691891474849	3.01074337384238	1.54269768169939	1.37809847210056
NM_028546.1	91.4019842891967	80.4466174971313	52.6883525993863	32	23.585679457189	12.9634459303068	12.7120275784456	2.57116280283231	5.51239388840223
NM_025824.3	138.423814357049	90.0652348065709	61.9862971757486	47	32.5911207044794	15.5561351163682	20.4061495338206	10.2846512113293	10.3357385407542
NM_008057.3	150.047188081687	137.283901598365	64.3107833198392	42	24.8721710639448	17.2845945737424	14.0501357445978	3.08539536339878	4.82334465235195
NM_018868.2	544.185224380767	397.860988708639	194.482007388911	131	102.061667469291	39.322452655264	38.1360827353369	14.398511695861	11.0247877768045
NM_001037725.3	38.0401321897235	34.1023704607404	13.9469168645434	13	8.5766107117051	3.02480405040493	4.6833785815326	2.57116280283231	5.51239388840223
NM_001037726.1	80.8352809031624	55.9628643458305	31.7679773025712	26	13.2937466031429	5.61749323646629	6.35601378922281	2.05693024226585	3.44524618025139
NR_040308.1	15.8500550790515	13.116296331054	6.19862971757486	1	3.43064428468204	2.1605743217178	3.67979745691847	1.02846512113293	0.689049236050279
NM_001001981.3	0	0	0	0	0	0	0	0	0
NR_015507.2	163.783902483532	112.800148447065	60.4366397463549	40	20.155035172507	13.827675658994	10.7048653292174	6.17079072679755	4.13429541630167
NM_008972.2	32.2284453274046	17.488395108072	11.6224307204529	6	5.14596642702306	2.1605743217178	4.34885153999456	1.54269768169939	0.689049236050279
NM_023755.2	527.278498963112	452.075013543662	204.55478067997	101	79.7624796188575	20.3093986241474	25.0895281153532	8.2277209690634	9.6466893047039
NM_001172074.1	20.6050716027669	18.3628148634756	6.97345843227172	3	5.14596642702306	2.1605743217178	1.67263520769021	2.57116280283231	1.37809847210056
NM_007923.2	67.6269016706195	49.8419260580053	27.8938337290869	17	11.1495939252166	5.18537837212273	6.02148674768477	4.62809304509816	5.51239388840223
NM_028057.2	246.732524063901	239.591012980587	252.594160991175	185	143.65822942106	105.868141764172	100.023585419875	22.1120001043579	32.3853140943631
NM_028320.4	179.105622393281	130.288543555137	112.350163631044	61	56.1768001616684	50.5574391281966	42.4849342753314	46.2809304509816	44.0991511072178
NM_152895.2	277.904299052702	248.335210534623	122.422936922103	86	57.4632917684242	20.3093986241474	25.7585821984293	9.77041865076279	5.51239388840223
NM_001278115.1	110.95038555336	88.3163952957637	38.7414357348429	18	15.4378992810692	4.32114864343561	7.69412195537498	3.08539536339878	4.82334465235195
NM_026500.3	196.012347810936	172.260691814509	126.297080495588	83	83.1931239035395	37.1618783335462	47.168312856864	13.370046574728	4.82334465235195
NR_106194.1	140.008819864955	96.1861730943961	41.8407505936303	23	20.155035172507	13.3955607946504	11.3739194122935	4.62809304509816	5.51239388840223
NM_008131.4	140.008819864955	96.1861730943961	41.8407505936303	23	20.155035172507	13.3955607946504	11.3739194122935	4.62809304509816	5.51239388840223
